CVE_ART,DESCR,LIN_PROD,CON_SERIE,UNI_MED,UNI_EMP,CTRL_ALM,TIEM_SURT,STOCK_MIN,STOCK_MAX,TIP_COSTEO,NUM_MON,FCH_ULTCOM,COMP_X_REC,FCH_ULTVTA,PEND_SURT,EXIST,COSTO_PROM,ULT_COSTO,CVE_OBS,TIPO_ELE,UNI_ALT,FAC_CONV,APART,CON_LOTE,CON_PEDIMENTO,PESO,VOLUMEN,CVE_ESQIMPU,CVE_BITA,VTAS_ANL_C,VTAS_ANL_M,COMP_ANL_C,COMP_ANL_M,PREFIJO,TALLA,COLOR,CUENT_CONT,CVE_IMAGEN,BLK_CST_EXT,STATUS,MAN_IEPS,APL_MAN_IMP,CUOTA_IEPS,APL_MAN_IEPS,UUID,VERSION_SINC,VERSION_SINC_FECHA_IMG,CVE_PRODSERV,CVE_UNIDAD,EDO_PUBL_ML,CVE_PUBL_ML,CONDICION_ML,TIPO_PUBL_ML,MODO_ENVIO_ML,LARGO_ML,ALTO_ML,ANCHO_ML,ENVIO_ML,CATEG_ML,CAMPOS_CATEG_ML,DISPONIBLE_PUBL,CVE_CATE_ML,LAST_UPDATE_ML,F_CREA_ML,IMAGEN_ML
ABRAZINOX,ABRAZADERA SERIE PESADA INOX. 25-40MM ta,HERRA,N,PZ,1,P2-ANA-03,15,0,0,E,1,2020-05-25 00:00:00,0,2020-06-30 00:00:00,22,28,13.8,13.8,0,P,PZ,1,12,N,N,0,0,1,,23,615.4716000000001,-1,-13.8,,,,,ABRAZINOX,N,A,N,1,0,C,10EE28AE-245C-4AAF-888C-C0E39672D425,2021-04-30 00:10:45,2020-06-19 12:59:29,27112129,H87,,,Nuevo,Gratis,No especificado,,,,No,,,,,,,
ALIBCACIGC,ALICATE DE MONTAJE CURVO BOCA CIGÜEÑA,PINZA,S,PZ,1,P1-ANA-03,15,0,0,E,1,2020-05-25 00:00:00,0,2020-04-01 00:00:00,0,8,73.15,73.15,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,ALIBCACIGC,N,A,N,1,0,C,E6486D41-2D9C-4EFA-94C8-04271F0B542A,2020-06-22 10:29:16,2020-06-19 12:59:45,27112128,H87,,,,,,,,,,,,,,,,
ALIBCACIGR,ALICATE DE MONTAJE RECTO BOCA CIGÜEÑA,PINZA,N,PZ,1,P2-ANA-01,15,0,0,E,1,2020-05-10 00:00:00,0,2020-06-22 00:00:00,0,18,69,69,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,ALIBCACIGR,N,A,N,1,0,C,261B4418-A796-4DCE-ADF3-7FE6084C820A,2020-06-22 18:12:57,2020-06-19 12:59:54,27112134,H87,,,,,,,,,,,,,,,,
ALIPVC160,ALICATE UNIV. C/CAPILLA MANGO PVC 160 mm,PINZA,N,PZ,1,P2-ANA-03,15,0,0,E,1,2020-04-10 00:00:00,0,2020-06-25 00:00:00,0,8,95,95,0,P,PZ,1,0,N,N,0,0,1,,2,98.40399999999988,0,0,,,,,ALIPVC160,N,A,N,1,0,C,B6D904E0-022B-4D48-B63E-7E1DB76BF833,2020-06-30 11:12:58,2020-06-19 13:00:23,27112135,H87,,,,,,,,,,,,,,,,
ALIPVC180,ALICATE UNIV. C/CAPILLA MANGO PVC 180 mm,PINZA,N,PZ,1,P1-ANA-03,15,0,0,E,1,2020-05-30 00:00:00,0,2020-06-24 00:00:00,0,8,76.7125,76.7125,0,P,PZ,1,0,N,N,0,0,1,,2,156.5,10,767.125,,,,,ALIPVC180,N,A,N,1,0,C,1AC4685D-AD88-4738-93B3-848FCD05FB55,2020-06-24 20:01:31,2020-06-19 13:00:31,27112135,H87,,,,,,,,,,,,,,,,
ALIPVC200,ALICATE UNIV. C/CAPILLA MANGO PVC Medida,PINZA,N,PZ,1,P2-ANA-01,15,0,0,E,1,,0,2020-06-24 00:00:00,0,45,150,150,0,P,PZ,1,0,N,N,0,0,1,,1,76,0,0,,,,,ALIPVC200,N,A,N,1,0,C,DE9DBC63-ED06-4EDE-82D9-E45BC710135E,2020-06-30 12:11:05,2020-06-19 13:00:42,27112134,H87,,,,,,,,,,,,,,,,
ARCOSIERR,ARCO DE SIERRA DE ALUMINIO 250-300 mm.,SERYS,N,PZ,1,P2-ANA-03,15,0,0,E,1,2020-06-21 00:00:00,0,2020-06-30 00:00:00,16,14,170.11666698333343,170.11666698333335,0,P,PZ,1,13,N,N,0,0,1,,6,1681.4,20,4328.416671416667,,,,,ARCOSIERR,N,A,N,1,0,C,633E4D13-1653-4093-BD7D-A72E2FE43AE0,2020-06-30 10:36:33,2020-06-19 13:00:49,27111508,H87,,,,,,,,,,,,,,,,
ATORNLLADOR,ATORNILLADOR 570W P/TABIQUERIA PESADA,ATOYT,S,PZ,1,P1-ANA-03,15,0,0,E,1,,0,,0,20,89,89,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,ATORNLLADOR,N,A,N,1,0,C,7C630850-9241-43AB-8254-B82A7E670447,2020-06-30 11:12:58,2020-06-19 13:00:56,27112100,H87,,,,,,,,,,,,,,,,
BARRETA,"BARRETA DE PUNTA 7/8"" 1M",CONST,N,PZ,1,P2-ANA-01,15,0,0,E,1,2020-06-10 00:00:00,0,2020-06-24 00:00:00,0,29,75,71.25,0,P,PZ,1,0,N,N,0,0,1,,1,40,-3,0,,,,,BARRETA,N,A,N,1,0,C,143E56E7-AF11-4C21-A47C-B74C39E8BD3D,2020-06-24 13:40:38,2020-06-19 13:01:02,27112200,H87,,,,,,,,,,,,,,,,
BASELIJDISS,BASE LIJADORA STANDARD 115MM RPM 20.000,SOLDA,N,PZ,1,P2-ANA-03,15,0,0,E,1,2020-06-10 00:00:00,5,2020-06-24 00:00:00,0,3,275,261.25,0,P,PZ,1,0,N,N,0,0,1,,2,668.6000000000001,-1,1375,,,,,BASELIJDISS,N,A,N,1,0,C,CFD9EB0F-81EC-44E7-A00F-6278780F1012,2020-06-24 16:13:38,2020-06-19 13:01:10,27112200,H87,,,,,,,,,,,,,,,,
